Player,Playing_Role,batting_rating,bowling_rating,form_rating
Ruturaj Gaikwad,batsman,43.15466666666667,60.0,51.577333333333335
Shivam Dube,allrounder,46.86266666666668,6.518181818181814,26.690424242424246
Ambati Rayudu,batsman,28.700000000000003,60.0,44.35
Devon Conway,batsman,62.16933333333334,60.0,61.08466666666667
Moeen Ali,allrounder,123.71066666666668,21.122068965517247,72.41636781609196
MS Dhoni,batsman,56.19466666666666,60.0,58.09733333333333
Ravindra Jadeja,allrounder,47.63533333333333,30.03870967741936,38.83702150537634
Dwaine Pretorius,allrounder,56.82333333333333,0.0,28.411666666666665
Jagadeesan Narayan,batsman,0.0,60.0,30.0
Dwayne Bravo,allrounder,43.916,26.4748051948052,35.1954025974026
Mitchell Santner,allrounder,43.593333333333334,34.28634146341464,38.93983739837398
Chris Jordan,allrounder,44.27866666666667,24.424186046511625,34.35142635658915
Maheesh Theekshana,bowler,0.0,32.91428571428572,16.45714285714286
Simarjeet Singh,bowler,0.0,60.0,30.0
Mukesh Choudhary,bowler,0.0,60.0,30.0
Prashant Solanki,bowler,0.0,60.0,30.0
Matheesha Pathirana,bowler,0.0,0.0,0.0
Tushar Deshpande,bowler,0.0,60.0,30.0
David Warner,batsman,57.41666666666667,60.0,58.708333333333336
Rishabh Pant,batsman,47.202,60.0,53.601
Prithvi Shaw,batsman,0.0,60.0,30.0
Mitchell Marsh,allrounder,51.482,22.32260869565217,36.90230434782609
Rovman Powell,batsman,49.956,60.0,54.978
Axar Patel,allrounder,53.92466666666667,29.350769230769227,41.63771794871795
Lalit Yadav,allrounder,0.0,60.0,30.0
Shardul Thakur,allrounder,62.221333333333334,25.724999999999998,43.973166666666664
Sarfaraz Khan,batsman,0.0,60.0,30.0
Kuldeep Yadav,bowler,0.0,44.995555555555555,22.497777777777777
Mandeep Singh,batsman,57.88133333333334,60.0,58.94066666666667
Srikar Bharat,batsman,0.0,60.0,30.0
Ripal Patel,allrounder,0.0,60.0,30.0
Mustafizur Rahman,bowler,0.0,33.39,16.695
Anrich Nortje,bowler,0.0,36.03,18.015
Khaleel Ahmed,bowler,0.0,20.948571428571427,10.474285714285713
Chetan Sakariya,bowler,0.0,19.380000000000003,9.690000000000001
Hardik Pandya,allrounder,53.164,24.718421052631577,38.941210526315786
Shubman Gill,batsman,68.392,60.0,64.196
David Miller,batsman,59.284000000000006,60.0,59.642
Wriddhiman Saha,batsman,0.0,60.0,30.0
Rahul Tewatia,allrounder,0.0,60.0,30.0
Matthew Wade,batsman,50.108666666666664,60.0,55.05433333333333
Sai Sudharsan,batsman,0.0,60.0,30.0
Abhinav Manohar,batsman,0.0,60.0,30.0
