match_id,season,match_date,team_1,team_2,toss_winner,toss_decision,batting_first,winner,first_innings_score,second_innings_score
335982,2007/08,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,222,82
335983,2007/08,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,240,207
335984,2007/08,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Delhi Daredevils,129,132
335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,165,166
335986,2007/08,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,Deccan Chargers,Kolkata Knight Riders,110,112
335987,2007/08,2008-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,166,168
335988,2007/08,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,142,143
335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,208,202
335990,2007/08,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,214,217
335991,2007/08,2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,182,116
335992,2007/08,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,135,138
335993,2007/08,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,147,152
335994,2007/08,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,Deccan Chargers,154,155
335995,2007/08,2008-04-27,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,158,162
335996,2007/08,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,178,165
335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,137,138
335998,2007/08,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,191,181
335999,2007/08,2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,164,167
336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,196,151
336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,169,172
336002,2007/08,2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,Royal Challengers Bangalore,165,171
336003,2007/08,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,178,169
336004,2007/08,2008-05-04,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,162,133
336005,2007/08,2008-05-04,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,109,110
336006,2007/08,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,Kings XI Punjab,126,127
336007,2007/08,2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings,Deccan Chargers,144,148
336008,2007/08,2008-05-07,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,103,104
336009,2007/08,2008-05-08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,187,188
336010,2007/08,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,129,124
336011,2007/08,2008-05-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,140,141
336012,2007/08,2008-05-28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,122,126
336013,2007/08,2008-05-10,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,Chennai Super Kings,181,163
