,match_id,season,match_date,team_1,team_2,toss_winner,toss_decision,batting_first,winner,first_innings_score,second_innings_score
0,335982,2007/08,2008-04-18,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,Kolkata Knight Riders,222,82
1,335983,2007/08,2008-04-19,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,240,207
2,335984,2007/08,2008-04-19,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,129,132
3,335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bengaluru,165,166
4,335986,2007/08,2008-04-20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,110,112
5,335987,2007/08,2008-04-21,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,Rajasthan Royals,166,168
6,335988,2007/08,2008-04-22,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Capitals,142,143
7,335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,208,202
8,335990,2007/08,2008-04-24,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,214,217
9,335991,2007/08,2008-04-25,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,Punjab Kings,182,116
10,335992,2007/08,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,Rajasthan Royals,135,138
11,335993,2007/08,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,147,152
12,335994,2007/08,2008-04-27,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,154,155
13,335995,2007/08,2008-04-27,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,Punjab Kings,158,162
14,335996,2007/08,2008-04-28,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,178,165
15,335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,137,138
16,335998,2007/08,2008-04-30,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,Delhi Capitals,191,181
17,335999,2007/08,2008-05-01,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,164,167
18,336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,196,151
19,336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,Delhi Capitals,169,172
20,336002,2007/08,2008-05-25,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Royal Challengers Bengaluru,165,171
21,336003,2007/08,2008-05-03,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,Punjab Kings,178,169
22,336004,2007/08,2008-05-04,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Mumbai Indians,162,133
23,336005,2007/08,2008-05-04,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,109,110
24,336006,2007/08,2008-05-05,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,Punjab Kings,126,127
25,336007,2007/08,2008-05-06,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,144,148
26,336008,2007/08,2008-05-07,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,103,104
27,336009,2007/08,2008-05-08,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,187,188
28,336010,2007/08,2008-05-08,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,129,124
29,336011,2007/08,2008-05-09,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,140,141
30,336012,2007/08,2008-05-28,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,Mumbai Indians,122,126
31,336013,2007/08,2008-05-10,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,Chennai Super Kings,181,163
32,336014,2007/08,2008-05-11,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,204,181
33,336015,2007/08,2008-05-11,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,Rajasthan Royals,156,159
34,336016,2007/08,2008-05-12,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Punjab Kings,143,144
35,336017,2007/08,2008-05-13,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,133,110
36,336018,2007/08,2008-05-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,156,158
37,336019,2007/08,2008-05-28,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,Punjab Kings,221,180
38,336020,2007/08,2008-05-15,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Delhi Capitals,194,182
39,336021,2007/08,2008-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,67,68
40,336022,2007/08,2008-05-17,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,Punjab Kings,118,94
41,336023,2007/08,2008-05-17,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,Rajasthan Royals,197,132
42,336024,2007/08,2008-05-18,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,Mumbai Indians,178,153
43,336025,2007/08,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,149,55
44,336026,2007/08,2008-05-19,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,Delhi Capitals,154,158
45,336027,2007/08,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,147,150
46,336028,2007/08,2008-05-21,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,Punjab Kings,189,188
47,336029,2007/08,2008-05-21,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,Royal Challengers Bengaluru,126,112
48,336031,2007/08,2008-05-23,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,175,178
49,336032,2007/08,2008-05-24,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,Delhi Capitals,176,179
50,336033,2007/08,2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,211,201
51,336034,2007/08,2008-05-03,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bengaluru,Royal Challengers Bengaluru,156,153
52,336035,2007/08,2008-05-25,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,Kolkata Knight Riders,174,175
53,336036,2007/08,2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,145,146
