,match_id,season,match_date,team_1,team_2,toss_winner,toss_decision,batting_first,winner,first_innings_score,second_innings_score
0,335982,2007/08,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,222.0,82.0
1,335983,2007/08,2008-04-19,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,240.0,207.0
2,335984,2007/08,2008-04-19,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,Delhi Daredevils,129.0,130.0
3,335985,2007/08,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Royal Challengers Bangalore,165.0,166.0
4,335986,2007/08,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,Kolkata Knight Riders,110.0,111.0
5,335987,2007/08,2008-04-21,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Kings XI Punjab,Rajasthan Royals,166.0,167.0
6,335988,2007/08,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,Delhi Daredevils,142.0,143.0
7,335989,2007/08,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,208.0,202.0
8,335990,2007/08,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Deccan Chargers,Rajasthan Royals,214.0,215.0
9,335991,2007/08,2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,182.0,116.0
10,335992,2007/08,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,135.0,136.0
11,335993,2007/08,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Chennai Super Kings,147.0,148.0
12,335994,2007/08,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,Deccan Chargers,154.0,155.0
13,335995,2007/08,2008-04-27,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,158.0,159.0
14,335996,2007/08,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,178.0,165.0
15,335997,2007/08,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,137.0,138.0
16,335998,2007/08,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,Delhi Daredevils,191.0,181.0
17,335999,2007/08,2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,Kings XI Punjab,164.0,165.0
18,336000,2007/08,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,196.0,151.0
19,336001,2007/08,2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,169.0,170.0
20,336003,2007/08,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,Kings XI Punjab,178.0,169.0
21,336034,2007/08,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,Royal Challengers Bangalore,156.0,153.0
22,336004,2007/08,2008-05-04,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,162.0,133.0
23,336005,2007/08,2008-05-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,109.0,110.0
