team,overall_avg_score,avg_score_last_5,avg_score_last_10,pp_runs_avg,middle_runs_avg,death_runs_avg,top6_avg_runs,top6_avg_sr,win_pct_overall,win_pct_last_5,win_pct_last_10,avg_wickets_taken_per_match,avg_wickets_lost_per_match,nrr,batting_rating,bowling_rating
Chennai Super Kings,164.12345679012347,200.2,180.3,48.63786008230453,71.71604938271605,43.76954732510288,2190.2880658436216,127.38549388976598,0.5637860082304527,0.4,0.3,3.114989733059548,2.6673511293634498,0.22964269788800173,56.873259752023664,41.59229246001695
Delhi Capitals,157.00393700787401,170.2,177.1,48.653543307086615,69.11811023622047,39.232283464566926,1999.9409448818897,129.66559325699484,0.4409448818897638,0.2,0.2,2.998031496062992,3.0236220472440944,-0.15339793305189708,38.43038686339891,62.14009155272755
Gujarat Titans,172.30232558139534,181.8,192.4,51.66279069767442,76.83720930232558,43.80232558139535,2408.9418604651164,139.14527882731483,0.5465116279069767,0.4,0.5,3.0,2.8488372093023258,-0.06373971796024591,54.116569223506644,37.22445736937052
Kolkata Knight Riders,157.23715415019763,152.8,155.9,47.99604743083004,70.30830039525692,38.93280632411067,1957.2134387351778,127.82600440786658,0.5059288537549407,0.4,0.4,2.9130434782608696,2.9762845849802373,0.08352975611966862,30.703787605214785,63.789614032068265
Lucknow Super Giants,176.58620689655172,205.4,195.6,51.55172413793103,80.48275862068965,44.55172413793103,2393.137931034483,141.98633517854358,0.5172413793103449,0.2,0.4,2.991304347826087,3.1043478260869564,-0.1937214674870198,67.71476175433688,32.21724020345901
Mumbai Indians,163.66666666666666,190.0,187.1,48.29545454545455,72.62878787878788,42.74242424242424,2044.003787878788,129.3217470351934,0.5454545454545454,0.4,0.7,3.090909090909091,2.965909090909091,0.2310983647099505,51.929250545072705,46.21856444028086
Punjab Kings,163.40711462450594,177.0,185.7,49.62450592885376,73.29644268774703,40.48616600790514,2099.4545454545455,132.5853270352533,0.44664031620553357,0.4,0.5,2.8594059405940593,3.095049504950495,-0.1453119860520644,45.869998262757676,54.2091445672687
Rajasthan Royals,160.2907488986784,186.2,183.4,48.07929515418502,72.05286343612335,40.158590308370044,2096.541850220264,130.35420960044019,0.4801762114537445,0.4,0.2,2.865934065934066,3.0065934065934066,-0.10574548655865357,47.919449613853885,56.809247910471555
Royal Challengers Bengaluru,159.78764478764478,185.6,172.7,46.69111969111969,71.54440154440154,41.552123552123554,2116.6563706563707,129.75834812702806,0.4749034749034749,0.8,0.8,2.920696324951644,2.9323017408123793,-0.04478292044910859,47.30777244485382,49.97256638200238
Sunrisers Hyderabad,160.13513513513513,211.2,188.0,49.625482625482626,69.96525096525096,40.544401544401545,2072.2818532818533,127.81920597976045,0.444015444015444,0.8,0.5,2.947976878612717,2.9826589595375723,-0.051964521344636694,59.13476393498097,55.82678108233457
