venue,avg_first_innings_score,highest_score,lowest_score,run_rate_avg,avg_second_innings_score,avg_wickets_lost_1st,avg_wickets_lost_2nd,pace_vs_spin_ratio,bat_first_win_pct,chase_win_pct,toss_win_pct,month,season,day_night
Arun Jaitley Stadium,168.28571428571428,219,115,8.262344605350883,155.0,327.35714285714283,286.57142857142856,0.9998837749883775,0.42857142857142855,0.5714285714285714,1.0,4,summer,0.0
"Arun Jaitley Stadium, Delhi",200.34782608695653,278,127,9.51045515357323,182.7391304347826,301.5217391304348,310.8695652173913,0.9999290226417773,0.21739130434782608,0.782608695652174,1.0,4,summer,0.0
Barabati Stadium,167.71428571428572,231,126,8.22343344881646,157.71428571428572,278.7142857142857,268.85714285714283,0.9997391757955139,0.2857142857142857,0.7142857142857143,1.0,5,summer,0.0
"Barsapara Cricket Stadium, Guwahati",174.6,199,144,8.396298309951991,161.6,310.4,351.4,0.9996978851963746,0.2,0.8,1.0,4,summer,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",175.36363636363637,235,121,8.400882185833416,166.0,317.22727272727275,268.23809523809524,0.9999207167208436,0.2727272727272727,0.7272727272727273,1.0,4,summer,0.0
Brabourne Stadium,180.4,212,151,8.656414959926709,167.7,250.6,327.7,0.9998271092669433,0.6,0.4,1.0,5,summer,0.0
"Brabourne Stadium, Mumbai",177.41176470588235,217,68,8.562006990044262,165.1764705882353,317.88235294117646,286.11764705882354,0.9999026195345214,0.17647058823529413,0.8235294117647058,1.0,4,summer,0.0
Buffalo Park,147.33333333333334,178,116,7.004789475757217,119.0,331.3333333333333,269.6666666666667,0.9994456762749445,1.0,0.0,1.0,5,summer,0.0
De Beers Diamond Oval,158.0,168,140,7.726883620105677,141.0,331.0,350.0,0.9995107632093934,0.6666666666666666,0.3333333333333333,1.0,5,summer,0.0
Dr DY Patil Sports Academy,146.64705882352942,187,82,7.132450722853788,136.2941176470588,403.05882352941177,264.2352941176471,0.9999118554429264,0.4117647058823529,0.5882352941176471,1.0,4,summer,0.0
"Dr DY Patil Sports Academy, Mumbai",170.7,216,128,8.178034215961903,157.95,310.15,334.25,0.9999224144619443,0.15,0.85,1.0,4,summer,0.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46153846153845,206,121,7.637676257846703,130.69230769230768,282.15384615384613,266.0,0.9998596885084888,0.38461538461538464,0.6153846153846154,1.0,5,summer,0.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",208.75,272,163,9.863303479953505,178.5,326.75,400.5,0.9996563573883162,0.75,0.25,1.0,3,summer,0.0
Dubai International Cricket Stadium,163.7608695652174,219,110,7.891692886576822,149.08695652173913,287.54347826086956,303.69565217391306,0.9999632528570903,0.41304347826086957,0.5869565217391305,1.0,10,winter,0.0
Eden Gardens,160.1818181818182,232,81,7.8690848524794585,147.06493506493507,288.7142857142857,272.2857142857143,0.9999768507801287,0.36363636363636365,0.6363636363636364,1.0,4,summer,0.0
